max_d,max_p,months_since,sizerank,state,city,growth_rate,pop2010,pop2014
"20080901T000000",101500,68,2505,TN,Rogersville,-0.474362,4427,4406
"20080601T000000",179100,64,4665,ID,Preston,0.423484,5195,5217
"20090601T000000",237800,76,3838,NM,Edgewood,1.73797,3740,3805
"20070501T000000",88600,51,1761,TX,Balch Springs,4.95529,23934,25120
"20070501T000000",116500,51,1830,TN,Millington,-0.681248,11156,11080
"20071201T000000",132700,58,3470,AL,Guntersville,1.80268,8210,8358
"20090501T000000",133000,75,2657,AL,Pell City,6.53846,12740,13573
"20070801T000000",118900,54,143,TN,Chattanooga,2.76641,169100,173778
"20090501T000000",168700,75,4320,AL,Springville,2.74375,4082,4194
"20080601T000000",254500,64,4921,UT,Woods Cross,12.9236,9827,11097
"20071201T000000",195200,58,201,TX,McKinney,18.0421,132806,156767
"20060301T000000",189300,37,3913,WI,Stoughton,3.02623,12656,13039
"20071001T000000",120800,56,3078,AL,Bay Minette,8.39722,8348,9049
"20070701T000000",225600,53,3930,OH,Oakwood,0.956023,3661,3696
"20090701T000000",121600,77,168,TN,Clarksville,9.84609,133647,146806
"20060701T000000",63300,41,4746,TN,Union City,-2.29022,10916,10666
"20070401T000000",326900,50,4658,NY,Crawford,-0.996891,9329,9236
"20090101T000000",255800,72,3301,WI,Hudson,5.43068,12724,13415
"20050701T000000",165400,29,3666,KY,Walton,5.7666,3659,3870
"20090601T000000",146100,76,3853,WI,Chippewa Falls,1.60797,13744,13965
"20060401T000000",286700,38,4646,NY,Wappingers Falls,1.93254,5485,5591
"20060401T000000",256100,38,2654,OH,Aurora,1.25491,15539,15734
"20060401T000000",205000,38,3124,OH,Bay Village,-1.2476,15630,15435
"20060801T000000",518700,42,4570,NY,Williston Park,0.452427,7294,7327
"20070901T000000",130700,55,1325,TX,Burleson,13.3494,36893,41818
"20070601T000000",120400,52,3076,TX,Live Oak,14.2555,13230,15116
"20090601T000000",148900,76,192,TX,Midland,15.1008,111239,128037
"20050601T000000",60700,28,1350,OH,Warren,3.82884,213485,221659
"20071001T000000",343900,56,4496,TX,Prosper,48.328,9719,14416
"20071101T000000",153100,57,167,TN,Murfreesboro,10.432,109528,120954
"20060301T000000",113000,37,1124,OH,Euclid,-1.89881,48820,47893
"20070501T000000",199200,51,2182,WI,Mount Pleasant,1.49254,603,612
"20060401T000000",293800,38,1281,OH,Upper Arlington,2.66686,33710,34609
"20090701T000000",82200,77,3095,NY,Endicott,-2.17586,13374,13083
"20070901T000000",153100,55,3777,AL,Gardendale,-1.14487,13888,13729
"20071001T000000",126800,56,4417,NY,Sweden,0.585497,14176,14259
"20090701T000000",138600,77,2082,TX,Stephenville,13.3181,17097,19374
"20060601T000000",195000,40,3963,OH,Sunbury,10.7876,4431,4909
"20060201T000000",175100,37,1256,MS,Oxford,14.7703,18957,21757
"20060601T000000",183200,40,3803,OH,Cleves,2.15543,3294,3365
"20090601T000000",138900,76,1869,MS,Lucedale,2.93515,2930,3016
"20061201T000000",124600,46,1150,TX,Lancaster,4.5572,36777,38453
"20051001T000000",377900,32,3014,NY,Beekman,-0.937714,14610,14473
"20050501T000000",140000,27,2783,KY,Florence,6.01416,30079,31888
"20071101T000000",153400,57,2339,TX,Hutto,26.6224,16719,21170
"20071001T000000",103700,56,3682,TN,Sweetwater,1.2584,5801,5874
"20070401T000000",156000,50,348,WI,Kenosha,0.895082,166577,168068
