max_d,max_p,months_since,sizerank,state
"20060201T000000",332700,37,3221,NJ
"20060401T000000",306800,38,3222,PA
"20061201T000000",892500,46,3223,FL
"20070801T000000",119600,54,3224,TN
,nan,nan,3225,AL
"20070501T000000",112400,51,3226,MO
"20070901T000000",229300,55,3227,NY
"20060601T000000",243300,40,3228,FL
"20090301T000000",191500,73,3229,LA
"20061101T000000",448500,45,3230,NJ
"20050901T000000",189400,32,3231,MI
"20071101T000000",161600,57,3232,KY
"20070901T000000",136300,55,3233,OH
"20090501T000000",255700,75,3234,NM
"20051101T000000",217600,34,3235,MI
"20060201T000000",769200,37,3236,CA
"20070401T000000",280400,50,3237,OR
"20030601T000000",237600,4,3238,MI
"20051201T000000",685900,34,3239,CA
"20060101T000000",326400,36,3240,CA
"20080701T000000",90700,65,3241,TN
"20070601T000000",454700,52,3242,CO
"20060201T000000",302700,37,3243,NV
"20070201T000000",412100,49,3244,NJ
"20060601T000000",182100,40,3245,NJ
"20081001T000000",195000,68,3246,NY
"20060701T000000",222000,41,3247,CT
"20080901T000000",94700,68,3248,OK
"20081101T000000",226200,70,3249,NC
,nan,nan,3250,TN
"20080201T000000",88100,61,3251,WI
"20051101T000000",466100,34,3252,FL
"20070501T000000",243800,51,3253,IL
"20070801T000000",340400,54,3254,CT
,nan,nan,3255,CO
"20050401T000000",191800,26,3256,MI
"20060701T000000",130600,41,3257,OH
"20050301T000000",282100,25,3258,OH
"20040301T000000",81000,13,3259,MI
"20060101T000000",82900,36,3260,TX
"20080401T000000",110000,62,3261,WA
"20051201T000000",170100,34,3262,MI
"20061001T000000",180900,44,3263,NJ
"20090701T000000",82200,77,3264,KY
"20070201T000000",244700,49,3265,IL
"20061001T000000",443500,44,3266,NJ
"20070701T000000",248400,53,3267,OR
"20070501T000000",217600,51,3268,TN
"20080801T000000",144000,66,3269,PA
"20080501T000000",65000,63,3270,NY
"20060101T000000",232100,36,3271,OH
"20060501T000000",135600,39,3272,OH
"20061101T000000",123900,45,3273,TN
"20060501T000000",1.4404e+06,39,3274,CA
"20060801T000000",143700,42,3275,OH
"20060101T000000",196800,36,3276,FL
"20080501T000000",90900,63,3277,IN
"20080401T000000",163700,62,3278,NC
"20070501T000000",175700,51,3279,PA
"20070301T000000",142200,49,3280,GA
"20080601T000000",162600,64,3281,IN
"20080201T000000",246900,61,3282,PA
"20060801T000000",111000,42,3283,IN
"20060401T000000",266700,38,3284,NH
"20081101T000000",122100,70,3285,WA
"20070901T000000",164600,55,3286,PA
"20060501T000000",360200,39,3287,NJ
"20080601T000000",199800,64,3288,LA
"20051101T000000",567400,34,3289,MA
"20070801T000000",192400,54,3290,PA
"20061101T000000",384000,45,3291,NY
"20060701T000000",380600,41,3292,NJ
"20070201T000000",262000,49,3293,AZ
"20060401T000000",338500,38,3294,FL
"20071101T000000",209100,57,3295,FL
"20090401T000000",141000,74,3296,OR
"20060301T000000",253600,37,3297,WI
"20061101T000000",212300,45,3298,FL
"20080901T000000",134800,68,3299,AZ
"20051001T000000",72300,32,3300,OH
"20090101T000000",255800,72,3301,WI
"20070501T000000",113500,51,3302,PA
"20060101T000000",246600,36,3303,MA
"20060301T000000",183800,37,3304,OH
"20070601T000000",99300,52,3305,SC
,nan,nan,3306,LA
"20090201T000000",128000,73,3307,FL
,nan,nan,3308,MO
"20060401T000000",446100,38,3309,MD
